Date : 2024-01-28 02:15:55
Directory : c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery
Total : 80 files,  8068 codes, 891 comments, 798 blanks, all 9757 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         29 |      6,400 |        621 |        464 |      7,485 |
| C++             |         16 |        532 |        118 |        181 |        831 |
| XML             |         10 |        471 |         48 |         14 |        533 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Markdown        |          7 |        156 |          0 |         56 |        212 |
| Gradle          |          3 |         90 |          5 |         22 |        117 |
| YAML            |          2 |         46 |         80 |         26 |        152 |
| Swift           |          4 |         42 |          3 |         11 |         56 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| CMake           |          2 |         37 |          0 |         12 |         49 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         80 |      8,068 |        891 |        798 |      9,757 |
| . (Files)                                                                                                              |          3 |         56 |         80 |         33 |        169 |
| android                                                                                                                |         12 |        165 |         51 |         35 |        251 |
| android (Files)                                                                                                        |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                            |          8 |        122 |         51 |         24 |        197 |
| android\app (Files)                                                                                                    |          1 |         55 |          5 |         13 |         73 |
| android\app\src                                                                                                        |          7 |         67 |         46 |         11 |        124 |
| android\app\src\debug                                                                                                  |          1 |          6 |          4 |          1 |         11 |
| android\app\src\main                                                                                                   |          5 |         57 |         38 |          9 |        104 |
| android\app\src\main (Files)                                                                                           |          1 |         31 |          6 |          3 |         40 |
| android\app\src\main\res                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                 |          5 |        143 |          0 |         47 |        190 |
| assets\agreements                                                                                                      |          5 |        143 |          0 |         47 |        190 |
| ios                                                                                                                    |          7 |        224 |          2 |          8 |        234 |
| ios\Runner                                                                                                             |          7 |        224 |          2 |          8 |        234 |
| ios\Runner (Files)                                                                                                     |          2 |         15 |          0 |          2 |         17 |
| ios\Runner\Assets.xcassets                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                    |         28 |      6,386 |        611 |        457 |      7,454 |
| lib (Files)                                                                                                            |          3 |        595 |         14 |         43 |        652 |
| lib\agreements                                                                                                         |          1 |         36 |          0 |          4 |         40 |
| lib\misc                                                                                                               |          2 |        447 |         26 |         49 |        522 |
| lib\pages                                                                                                              |         18 |      4,915 |        566 |        336 |      5,817 |
| lib\shared                                                                                                             |          4 |        393 |          5 |         25 |        423 |
| linux                                                                                                                  |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                                                          |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                          |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                                                  |          5 |        439 |          3 |         12 |        454 |
| macos\Flutter                                                                                                          |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                                           |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                   |          2 |         20 |          0 |          6 |         26 |
